Date,Site,Observer ,Species,Size_cm,Stage,Time_Beg,Time_End,Seconds_Observed,Depth_Beg,Dept_End,Bare,Rubble,CCA,Sand ,Other,Total_Bites,Bite_Rate,Notes
2010-08-09,LTER_1,TA,Chlorurus sordidus,21,Initial_Phase,13:06:30,13:11:30,300,30,30,113,0,0,0,0,113,22.6,Chased IP C sordidus once; Chased TP C sordidus once
2010-08-09,LTER_1,MS,Chlorurus sordidus,17,Initial_Phase,13:07:30,13:12:08,278,32,31,103,5,0,0,0,108,23.30935252,
2010-07-29,LTER_1,TA,Chlorurus sordidus,18,Initial_Phase,13:13:00,13:18:00,300,28,28,119,0,0,0,0,119,23.8,
2010-08-09,LTER_1,TA,Chlorurus sordidus,17,Initial_Phase,13:13:00,13:18:00,300,30,30,110,0,0,0,0,110,22,Bit by Piano fang blenny
2010-08-09,LTER_1,MS,Ctenochaetus striatus,14,,13:13:00,13:18:00,300,31,54,53,0,0,0,0,53,10.6,Swam far and deep eventually joining a school of C striatus
2010-07-29,LTER_1,MS,Chlorurus sordidus,18,Initial_Phase,13:13:30,13:18:30,300,32,34,112,9,0,0,0,121,24.2,
2010-07-29,LTER_1,MS,Chlorurus sordidus,19,Terminal_Phase,13:19:00,13:24:00,300,30,30,97,0,0,0,0,97,19.4,Chased C sordidus twice 
2010-07-29,LTER_1,TA,Chlorurus sordidus,16,Initial_Phase,13:20:00,13:25:00,300,29,37,120,0,0,0,0,120,24,
2010-08-09,LTER_1,TA,Ctenochaetus striatus,15,,13:20:30,13:24:10,220,30,40,90,0,0,0,0,90,24.54545455,Chased by C striatus once and by Stegastes once
2010-08-09,LTER_1,MS,Ctenochaetus striatus,13,,13:21:00,13:26:00,300,32,26,55,0,3,0,0,58,11.6,
2010-07-29,LTER_1,MS,Ctenochaetus striatus,13,,13:26:30,13:31:04,274,30,28,144,0,18,0,0,162,35.47445255,
2010-08-09,LTER_1,TA,Ctenochaetus striatus,17,,13:27:00,13:32:00,300,26,24,53,0,0,0,0,53,10.6,Chased a C sordidus 3 times and a S psittacus 3 times; spent most of the last 3 minutes of the observation sheltering in a hole
2010-08-09,LTER_1,MS,Chlorurus sordidus,21,Terminal_Phase,13:28:00,13:33:00,300,30,27,115,0,0,0,0,115,23,
2010-07-29,LTER_1,TA,Chlorurus sordidus,23,Terminal_Phase,13:29:00,13:34:00,300,30,30,42,0,0,0,0,42,8.4,"Patrolling territory, chased 2 TP C soridus, cleaned by L. dimidiatus 2 sec"
2010-07-29,LTER_1,MS,Ctenochaetus striatus,14,,13:32:00,13:37:00,300,32,28,167,0,29,0,0,196,39.2,
2010-07-29,LTER_1,TA,Ctenochaetus striatus,14,,13:37:30,13:42:30,300,32,32,108,0,5,0,0,113,22.6,
2010-07-29,LTER_1,MS,Chlorurus sordidus,22,Terminal_Phase,13:38:00,13:43:00,300,30,31,107,0,0,0,0,107,21.4,
2010-07-29,LTER_1,MS,Ctenochaetus striatus,14,,13:44:00,13:48:00,240,31,25,141,0,0,0,0,141,35.25,
2010-07-29,LTER_1,TA,Ctenochaetus striatus,15,,13:45:30,13:50:30,300,28,28,96,0,0,0,0,96,19.2,chased C striatus size 13 cm
2010-07-29,LTER_1,TA,Ctenochaetus striatus,15,,13:53:30,13:58:30,300,34,36,115,0,30,0,0,145,29,cleaned by L. rubrotabiatus 2 sec
2010-07-27,LTER_1,TA,Ctenochaetus striatus,15,,13:57:30,14:02:00,270,50,53,241,67,0,0,0,308,68.44444444,
